Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","2","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","10.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","3","Albania","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","61","F","FAO estimate",""
"FS","Suite of Food Security Indicators","4","Algeria","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","25","F","FAO estimate",""
"FS","Suite of Food Security Indicators","5","American Samoa","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","6","Andorra","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","7","Angola","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","15.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","8","Antigua and Barbuda","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","9","Argentina","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","67.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","1","Armenia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","45.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","10","Australia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","72.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","11","Austria","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","64.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","52","Azerbaijan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","32","F","FAO estimate",""
"FS","Suite of Food Security Indicators","12","Bahamas","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","13","Bahrain","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","16","Bangladesh","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","12","F","FAO estimate",""
"FS","Suite of Food Security Indicators","14","Barbados","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","49","F","FAO estimate",""
"FS","Suite of Food Security Indicators","57","Belarus","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","49","F","FAO estimate",""
"FS","Suite of Food Security Indicators","255","Belgium","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","57.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","23","Belize","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","27.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","53","Benin","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","13.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","17","Bermuda","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","18","Bhutan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","19","Bolivia (Plurinational State of)","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","35","F","FAO estimate",""
"FS","Suite of Food Security Indicators","80","Bosnia and Herzegovina","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","36.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","20","Botswana","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","28","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","53.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","27","Bulgaria","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","41","F","FAO estimate",""
