Domain Code,Domain,Area Code (FAO),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","2","Afghanistan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","113.832502","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","284","Åland Islands","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","100.636471","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","3","Albania","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","105.132572","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","4","Algeria","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","111.015653","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","6","Andorra","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","104.885907","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","7","Angola","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","183.757815","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","258","Anguilla","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","101.441055","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","102.493493","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","143.476356","","Official data","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","103.525785","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","22","Aruba","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","97.810679","","Official data","base year is 2015"
"CP","Consumer Price Indices","10","Australia","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","101.84973","","Official data","base year is 2015"
"CP","Consumer Price Indices","11","Austria","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","104.300522","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","52","Azerbaijan","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","137.525291","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","12","Bahamas","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","100.219352","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","13","Bahrain","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","101.903445","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","16","Bangladesh","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","116.000498","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","14","Barbados","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","121.945129","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","57","Belarus","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","120.59984","X","International reliable sources","base year is 2015"
