Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","2","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","2058.4","X","International reliable sources",""
"FS","Suite of Food Security Indicators","3","Albania","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","12771","X","International reliable sources",""
"FS","Suite of Food Security Indicators","4","Algeria","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","11737.4","X","International reliable sources",""
"FS","Suite of Food Security Indicators","5","American Samoa","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","","X","International reliable sources",""
"FS","Suite of Food Security Indicators","6","Andorra","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","","X","International reliable sources",""
"FS","Suite of Food Security Indicators","7","Angola","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","7310.9","X","International reliable sources",""
"FS","Suite of Food Security Indicators","8","Antigua and Barbuda","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","19840.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","9","Argentina","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","23597.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","1","Armenia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","12115.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","48398.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","11","Austria","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","54173","X","International reliable sources",""
"FS","Suite of Food Security Indicators","52","Azerbaijan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","14121.4","X","International reliable sources",""
"FS","Suite of Food Security Indicators","12","Bahamas","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","35911.7","X","International reliable sources",""
"FS","Suite of Food Security Indicators","13","Bahrain","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","47709.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","16","Bangladesh","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","4894.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","14","Barbados","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","15800.4","X","International reliable sources",""
"FS","Suite of Food Security Indicators","57","Belarus","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","18356.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","255","Belgium","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","50442.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","23","Belize","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","7140.9","X","International reliable sources",""
"FS","Suite of Food Security Indicators","53","Benin","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","3044.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","17","Bermuda","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","81835","X","International reliable sources",""
"FS","Suite of Food Security Indicators","18","Bhutan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","11142.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","19","Bolivia (Plurinational State of)","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","8423.7","X","International reliable sources",""
"FS","Suite of Food Security Indicators","80","Bosnia and Herzegovina","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","13753.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","20","Botswana","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","15948","X","International reliable sources",""
"FS","Suite of Food Security Indicators","21","Brazil","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","14524.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","60994.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","27","Bulgaria","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","21469.9","X","International reliable sources",""
"FS","Suite of Food Security Indicators","233","Burkina Faso","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","2044.4","X","International reliable sources",""
"FS","Suite of Food Security Indicators","29","Burundi","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","773.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","35","Cabo Verde","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","6643.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","115","Cambodia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","3928.4","X","International reliable sources",""
"FS","Suite of Food Security Indicators","32","Cameroon","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2017","2017","I$","3665.1","X","International reliable sources",""
