Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","18896.352021","X","Sources internationales s?res",""
"MK","Indicateurs macro","202","Afrique du Sud","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","349006.689642","X","Sources internationales s?res",""
"MK","Indicateurs macro","3","Albanie","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","13019.729856","X","Sources internationales s?res",""
"MK","Indicateurs macro","4","Alg?rie","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","170096.984537","X","Sources internationales s?res",""
"MK","Indicateurs macro","79","Allemagne","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","3690849.152518","X","Sources internationales s?res",""
"MK","Indicateurs macro","6","Andorre","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","3000.160225","X","Sources internationales s?res",""
"MK","Indicateurs macro","7","Angola","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","122123.858628","X","Sources internationales s?res",""
"MK","Indicateurs macro","258","Anguilla","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","281.055556","X","Sources internationales s?res",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","1467.977778","X","Sources internationales s?res",""
"MK","Indicateurs macro","194","Arabie saoudite","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","688586.094413","X","Sources internationales s?res",""
"MK","Indicateurs macro","9","Argentine","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","643628.396191","X","Sources internationales s?res",""
"MK","Indicateurs macro","1","Arm?nie","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","11527.458713","X","Sources internationales s?res",""
"MK","Indicateurs macro","22","Aruba","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","3092.430168","X","Sources internationales s?res",""
"MK","Indicateurs macro","10","Australie","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","1416783.718751","X","Sources internationales s?res",""
"MK","Indicateurs macro","11","Autriche","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","417261.151845","X","Sources internationales s?res",""
"MK","Indicateurs macro","52","Azerba?djan","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","40866.632048","X","Sources internationales s?res",""
"MK","Indicateurs macro","12","Bahamas","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","12359.749424","X","Sources internationales s?res",""
"MK","Indicateurs macro","13","Bahre?n","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","35473.785362","X","Sources internationales s?res",""
"MK","Indicateurs macro","16","Bangladesh","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","245633.488923","X","Sources internationales s?res",""
"MK","Indicateurs macro","14","Barbade","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","4985.965","X","Sources internationales s?res",""
"MK","Indicateurs macro","57","B?larus","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","54725.418814","X","Sources internationales s?res",""
"MK","Indicateurs macro","255","Belgique","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","502764.720556","X","Sources internationales s?res",""
"MK","Indicateurs macro","23","Belize","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","1844.906692","X","Sources internationales s?res",""
"MK","Indicateurs macro","53","B?nin","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","12701.655846","X","Sources internationales s?res",""
"MK","Indicateurs macro","17","Bermudes","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","7142.316","X","Sources internationales s?res",""
"MK","Indicateurs macro","18","Bhoutan","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","2450.366316","X","Sources internationales s?res",""
"MK","Indicateurs macro","19","Bolivie (?tat plurinational de)","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","37508.683068","X","Sources internationales s?res",""
"MK","Indicateurs macro","80","Bosnie-Herz?govine","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","18080.610875","X","Sources internationales s?res",""
"MK","Indicateurs macro","20","Botswana","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","17405.496707","X","Sources internationales s?res",""
"MK","Indicateurs macro","21","Br?sil","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","2063514.688762","X","Sources internationales s?res",""
"MK","Indicateurs macro","26","Brun?i Darussalam","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","12128.166606","X","Sources internationales s?res",""
"MK","Indicateurs macro","27","Bulgarie","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","59200.845118","X","Sources internationales s?res",""
"MK","Indicateurs macro","233","Burkina Faso","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","14106.955625","X","Sources internationales s?res",""
"MK","Indicateurs macro","29","Burundi","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","3297.826848","X","Sources internationales s?res",""
"MK","Indicateurs macro","35","Cabo Verde","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","1769.786532","X","Sources internationales s?res",""
"MK","Indicateurs macro","115","Cambodge","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","22177.200626","X","Sources internationales s?res",""
"MK","Indicateurs macro","32","Cameroun","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","35009.259798","X","Sources internationales s?res",""
"MK","Indicateurs macro","33","Canada","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","1649518.967468","X","Sources internationales s?res",""
"MK","Indicateurs macro","40","Chili","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","277034.678676","X","Sources internationales s?res",""
"MK","Indicateurs macro","351","Chine","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","12702190.669259","A","Agr?gat, peut inclure des donn?es officielles, semi-officielles, estim?es ou calcul?es",""
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","341241.97222","X","Sources internationales s?res",""
"MK","Indicateurs macro","128","Chine - RAS de Macao","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","50456.759225","X","Sources internationales s?res",""
"MK","Indicateurs macro","41","Chine, continentale","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","12310491.937814","X","Sources internationales s?res",""
"MK","Indicateurs macro","50","Chypre","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","22870.734322","X","Sources internationales s?res",""
"MK","Indicateurs macro","44","Colombie","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","311883.730442","X","Sources internationales s?res",""
"MK","Indicateurs macro","45","Comores","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","1077.439756","X","Sources internationales s?res",""
"MK","Indicateurs macro","46","Congo","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","11011.6519","X","Sources internationales s?res",""
"MK","Indicateurs macro","48","Costa Rica","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","60516.044623","X","Sources internationales s?res",""
"MK","Indicateurs macro","107","C?te d'Ivoire","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","51588.154312","X","Sources internationales s?res",""
