Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","2","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","-2.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","3","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","0.38","X","International reliable sources",""
"FS","Suite of Food Security Indicators","4","Algeria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","-0.92","X","International reliable sources",""
"FS","Suite of Food Security Indicators","5","American Samoa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","1.22","X","International reliable sources",""
"FS","Suite of Food Security Indicators","6","Andorra","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","1.42","X","International reliable sources",""
"FS","Suite of Food Security Indicators","7","Angola","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","-0.38","X","International reliable sources",""
"FS","Suite of Food Security Indicators","8","Antigua and Barbuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","0.75","X","International reliable sources",""
"FS","Suite of Food Security Indicators","9","Argentina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","0.17","X","International reliable sources",""
"FS","Suite of Food Security Indicators","1","Armenia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","-0.62","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","0.9","X","International reliable sources",""
"FS","Suite of Food Security Indicators","11","Austria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","1.05","X","International reliable sources",""
"FS","Suite of Food Security Indicators","52","Azerbaijan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","-0.75","X","International reliable sources",""
"FS","Suite of Food Security Indicators","12","Bahamas","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","0.99","X","International reliable sources",""
"FS","Suite of Food Security Indicators","13","Bahrain","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","-0.96","X","International reliable sources",""
"FS","Suite of Food Security Indicators","16","Bangladesh","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","-1.26","X","International reliable sources",""
"FS","Suite of Food Security Indicators","14","Barbados","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","0.97","X","International reliable sources",""
"FS","Suite of Food Security Indicators","57","Belarus","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","-0.05","X","International reliable sources",""
"FS","Suite of Food Security Indicators","255","Belgium","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","0.43","X","International reliable sources",""
"FS","Suite of Food Security Indicators","23","Belize","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","0.04","X","International reliable sources",""
"FS","Suite of Food Security Indicators","53","Benin","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","0.03","X","International reliable sources",""
"FS","Suite of Food Security Indicators","17","Bermuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","1","X","International reliable sources",""
