Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1921.2","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2102.1","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1255.6","","Donnée officielle"
"PP","Prix à la Production","194","Arabie saoudite","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","3333.3","","Donnée officielle"
"PP","Prix à la Production","9","Argentine","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1155.4","","Donnée officielle"
"PP","Prix à la Production","1","Arménie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","5184.5","","Donnée officielle"
"PP","Prix à la Production","11","Autriche","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2983.4","","Donnée officielle"
"PP","Prix à la Production","52","Azerbaïdjan","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1847.1","","Donnée officielle"
"PP","Prix à la Production","80","Bosnie-Herzégovine","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1188.3","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","3234.1","","Donnée officielle"
"PP","Prix à la Production","35","Cabo Verde","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","5063.4","","Donnée officielle"
"PP","Prix à la Production","41","Chine, continentale","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","3345.6","","Donnée officielle"
"PP","Prix à la Production","50","Chypre","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2825.3","","Donnée officielle"
"PP","Prix à la Production","44","Colombie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1740.3","","Donnée officielle"
"PP","Prix à la Production","54","Danemark","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1253.2","","Donnée officielle"
"PP","Prix à la Production","203","Espagne","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1178","","Donnée officielle"
"PP","Prix à la Production","185","Fédération de Russie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1638.2","","Donnée officielle"
"PP","Prix à la Production","66","Fidji","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","4628.8","","Donnée officielle"
"PP","Prix à la Production","67","Finlande","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1520.2","","Donnée officielle"
"PP","Prix à la Production","68","France","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1730.2","","Donnée officielle"
"PP","Prix à la Production","73","Géorgie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1730.7","","Donnée officielle"
"PP","Prix à la Production","84","Grèce","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1843.4","","Donnée officielle"
"PP","Prix à la Production","86","Grenade","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","5710.6","","Donnée officielle"
"PP","Prix à la Production","99","Islande","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2914","","Donnée officielle"
