Zone;Accords commerciaux Européens;Gatt
Afghanistan;0;0
Afrique du Sud;0;1
Albanie;0;0
Algérie;0;0
Allemagne;1;1
Angola;0;1
Antigua-et-Barbuda;0;1
Arabie saoudite;0;0
Argentine;0;1
Arménie;0;0
Australie;0;1
Autriche;1;1
Azerbaïdjan;0;0
Bahamas;0;0
Bangladesh;0;1
Barbade;0;1
Belgique;1;1
Belize;0;1
Bolivie (État plurinational de);0;1
Bosnie-Herzégovine;0;0
Botswana;0;1
Brésil;0;1
Bulgarie;1;0
Burkina Faso;0;1
Bélarus;0;0
Bénin;0;1
Cabo Verde;0;0
Cambodge;0;0
Cameroun;0;1
Canada;0;1
Chili;0;1
Chine - RAS de Hong-Kong;0;1
Chine - RAS de Macao;0;1
Chine, Taiwan Province de;0;1
Chine, continentale;0;0
Chypre;1;1
Colombie;0;1
Congo;0;1
Costa Rica;0;1
Croatie;1;0
Cuba;0;1
Côte d'Ivoire;0;1
Danemark;1;1
Djibouti;0;1
Dominique;0;1
El Salvador;0;0
Espagne;1;1
Estonie;1;0
Eswatini;0;0
Fidji;0;1
Finlande;1;1
France;1;1
Fédération de Russie;0;0
Gabon;0;1
Gambie;0;1
Ghana;0;1
Grenade;0;1
Grèce;1;1
Guatemala;0;1
Guinée;0;1
Guinée-Bissau;0;1
Guyana;0;1
Géorgie;0;0
Haïti;0;1
Honduras;0;1
Hongrie;1;1
Inde;0;1
Indonésie;0;1
Iran (République islamique d');0;0
Iraq;0;0
Irlande;1;1
Islande;0;1
Israël;0;1
Italie;1;1
Jamaïque;0;1
Japon;0;1
Jordanie;0;0
Kazakhstan;0;0
Kenya;0;1
Kirghizistan;0;0
Kiribati;0;0
Koweït;0;1
Lesotho;0;1
Lettonie;1;0
Liban;0;0
Libéria;0;0
Lituanie;1;0
Luxembourg;1;1
Macédoine du Nord;0;0
Madagascar;0;1
Malaisie;0;1
Malawi;0;1
Maldives;0;1
Mali;0;1
Malte;1;1
Maroc;0;1
Maurice;0;1
Mauritanie;0;1
Mexique;0;1
Mongolie;0;0
Monténégro;0;0
Mozambique;0;1
Myanmar;0;1
Namibie;0;1
Nicaragua;0;1
Niger;0;1
Nigéria;0;1
Norvège;0;1
Nouvelle-Calédonie;0;1
Nouvelle-Zélande;0;0
Népal;0;0
Oman;0;0
Ouganda;0;1
Ouzbékistan;0;0
Pakistan;0;1
Panama;0;0
Paraguay;0;1
Pays-Bas;1;1
Philippines;0;1
Pologne;1;1
Polynésie française;0;0
Portugal;1;1
Pérou;0;1
Roumanie;1;1
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;0;1
Rwanda;0;1
République centrafricaine;0;1
République de Corée;0;1
République de Moldova;0;0
République dominicaine;0;1
République démocratique populaire lao;0;0
République populaire démocratique de Corée;0;0
République-Unie de Tanzanie;0;0
Saint-Kitts-et-Nevis;0;1
Saint-Vincent-et-les Grenadines;0;1
Sainte-Lucie;0;1
Samoa;0;0
Sao Tomé-et-Principe;0;0
Serbie;0;0
Sierra Leone;0;1
Slovaquie;1;1
Slovénie;1;0
Soudan;0;0
Sri Lanka;0;1
Suisse;0;0
Suriname;0;0
Suède;1;1
Sénégal;0;1
Tadjikistan;0;0
Tchad;0;0
Tchéquie;1;1
Thaïlande;0;0
Timor-Leste;0;0
Togo;0;0
Trinité-et-Tobago;0;0
Tunisie;0;0
Turkménistan;0;0
Turquie;0;0
Ukraine;0;0
Uruguay;0;0
Vanuatu;0;0
Venezuela (République bolivarienne du);0;0
Viet Nam;0;0
Yémen;0;0
Zambie;0;0
Zimbabwe;0;0
Égypte;0;0
Émirats arabes unis;0;1
Équateur;0;0
États-Unis d'Amérique;0;1
Éthiopie;0;0
Îles Salomon;0;1
