Zone,Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Production,Population,Produit intérieur brut en millions de dollar,PIB généré par habitant et par an,Part d'habitant souffrant de sous-nutrition en %,Part d'habitant souffrant d'obésité,Quantité de protéines d'origine animale contenue dans l'alimentation en gramme par personnes par jour,Taux d'inflation de l'indice de l'alimentation par rapport à 2015 (où 2015=100),Indice de stabilité politique,Vol d'oiseau (km),Trajet par route (km),Accords commerciaux Européens,Gatt,Green Future Index,Taux de dépendence aux importations,Taux d’Autosuffisance
Afghanistan,1.53,57.0,0.0,29.0,55.0,28.0,36296113.0,18896.352021,2058.4,23.0,5.5,10.7,113.832502,-2.8,"5456,82 ","7128,88 ",0,0,0,50.877192982456144,49.122807017543856
Afrique du Sud,35.69,2118.0,63.0,514.0,2035.0,1667.0,57009756.0,349006.689642,13860.3,5.5,28.3,35.7,120.8108,-0.28,"8920,69 ","14243,34 ",0,1,"4,47",24.268177525967893,78.7063267233239
Albanie,16.36,47.0,0.0,38.0,47.0,13.0,2884169.0,13019.729856,12771.0,4.7,21.7,61.0,105.132572,0.38,"1635,20 ","2436,14 ",0,0,0,74.50980392156863,25.49019607843137
Algérie,6.38,277.0,0.0,2.0,264.0,275.0,41389189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2319,82 ","3084,43 ",0,0,"3,17",0.7220216606498195,99.27797833935018
Allemagne,19.47,1739.0,646.0,842.0,1609.0,1514.0,82658409.0,3690849.152518,53071.5,0.0,22.3,63.0,105.0,0.59,"649,95 ","845,14 ",1,1,"5,55",49.239766081871345,88.53801169590643
Angola,10.56,319.0,0.0,277.0,315.0,42.0,29816766.0,122123.858628,7310.9,15.4,8.2,15.7,183.757815,-0.38,"7005,14 ","9738,91 ",0,1,"4,34",86.83385579937304,13.166144200626958
Antigua-et-Barbuda,54.1,7.0,0.0,7.0,5.0,0.0,95426.0,1467.977778,19840.3,0.0,18.9,0.0,102.493493,0.75,"6708,02 ",0,0,1,0,100.0,0.0
Arabie saoudite,43.36,1435.0,10.0,722.0,1435.0,616.0,33101178.999999996,688586.094413,47306.2,3.7,35.4,34.6,97.83605,-0.64,"4634,78 ","5822,40 ",0,0,"3,97",54.36746987951807,46.3855421686747
Argentine,42.24,1962.0,207.0,8.0,1856.0,2161.0,43937140.0,643628.396191,23597.1,3.1,28.3,67.3,143.476356,0.17,"11305,44 ",0,0,1,"4,04",0.40774719673802245,110.1427115188583
Arménie,16.06,47.0,0.0,35.0,47.0,11.0,2944791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3462,34 ","4636,67 ",0,0,0,76.08695652173914,23.91304347826087
Australie,47.65,1171.0,42.0,16.0,1171.0,1269.0,24584620.0,1416783.718751,48398.5,0.0,29.0,72.3,101.84973,0.9,"15149,30 ",0,0,1,"4,89",1.2872083668543846,102.09171359613838
Autriche,18.2,173.0,78.0,110.0,160.0,148.0,8819901.0,417261.151845,54173.0,0.0,20.1,64.7,104.300522,1.05,"832,20 ","1045,98 ",1,1,"5,47",61.111111111111114,82.22222222222221
Azerbaïdjan,13.11,129.0,0.0,27.0,129.0,104.0,9845320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3631,15 ","4686,93 ",0,0,0,20.610687022900763,79.38931297709924
Bahamas,43.17,26.0,0.0,24.0,16.0,6.0,381755.0,12359.749424,35911.7,0.0,31.6,0.0,100.219352,0.99,"7210,24 ",0,0,0,0,80.0,20.0
Bangladesh,1.5,250.0,0.0,0.0,240.0,249.0,159685424.0,245633.488923,4894.6,12.5,3.6,12.0,116.000498,-1.26,"7858,48 ","10271,94 ",0,1,"3,68",0.0,100.0
Barbade,46.78,17.0,0.0,2.0,13.0,15.0,286232.0,4985.965,15800.4,4.3,23.1,49.0,121.945129,0.97,"6866,91 ",0,0,1,0,11.76470588235294,88.23529411764706
Belgique,12.65,152.0,656.0,338.0,144.0,463.0,11419748.0,502764.720556,50442.3,0.0,22.1,57.7,104.2831,0.43,"260,94 ","299,07 ",1,1,"5,63",233.1034482758621,319.3103448275862
Belize,25.69,19.0,0.0,0.0,10.0,20.0,375769.0,1844.906692,7140.9,7.0,24.1,27.4,99.340829,0.04,"8651,56 ",0,0,1,0,0.0,100.0
Bolivie (État plurinational de),36.0,429.0,1.0,1.0,403.0,533.0,11192855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"9866,66 ",0,0,1,0,0.18761726078799248,100.0
Bosnie-Herzégovine,16.7,55.0,8.0,10.0,56.0,61.0,3351525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1286,89 ","1688,45 ",0,0,0,15.873015873015872,96.82539682539682
Botswana,3.39,7.0,0.0,3.0,7.0,5.0,2205080.0,17405.496707,15948.0,21.3,18.9,28.0,105.454641,1.02,"8166,93 ","13393,55 ",0,1,0,37.5,62.5
Brésil,48.03,9982.0,4223.0,3.0,9982.0,14201.0,207833823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8602,28 ",0,0,1,"4,96",0.030057108506161705,142.2803326320008
Bulgarie,22.06,157.0,45.0,108.0,157.0,107.0,7102444.0,59200.845118,21469.9,3.0,25.0,41.0,104.336471,0.33,"1895,97 ","2369,68 ",1,0,"4,54",63.52941176470588,62.94117647058823
Burkina Faso,2.27,46.0,0.0,0.0,44.0,46.0,19193234.0,14106.955625,2044.4,12.4,5.6,10.7,104.243617,-0.93,"4059,62 ","5405,29 ",0,1,0,0.0,100.0
Bélarus,27.98,265.0,152.0,21.0,264.0,463.0,9450231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1844,76 ","2132,15 ",0,0,0,6.325301204819277,139.4578313253012
Bénin,14.4,161.0,0.0,123.0,161.0,18.0,11175198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4376,27 ","5949,12 ",0,1,0,87.2340425531915,12.76595744680851
Cabo Verde,17.62,10.0,0.0,12.0,9.0,1.0,537498.0,1769.786532,6643.2,16.2,11.8,25.7,99.32918,0.77,"4365,68 ",0,0,0,0,92.3076923076923,7.6923076923076925
Cambodge,2.34,38.0,0.0,10.0,37.0,28.0,16009409.0,22177.200626,3928.4,7.7,3.9,19.0,110.232083,0.09,"9822,61 ","13187,26 ",0,0,0,26.31578947368421,73.68421052631578
Cameroun,3.16,82.0,0.0,0.0,78.0,81.0,24566073.0,35009.259798,3665.1,6.6,11.4,11.3,101.965277,-1.1,"4860,58 ","6447,52 ",0,1,"4,59",0.0,100.0
Canada,39.02,1433.0,163.0,182.0,1433.0,1417.0,36732095.0,1649518.967468,48317.2,0.0,29.4,56.4,100.0767,1.1,"6603,97 ",0,0,1,"5,48",12.674094707520892,98.67688022284122
Chili,36.36,672.0,115.0,155.0,672.0,712.0,18470439.0,277034.678676,24411.5,2.9,28.0,47.7,107.0929,0.42,"11376,92 ",0,0,1,"5,29",20.611702127659576,94.68085106382979
Chine - RAS de Hong-Kong,53.51,280.0,663.0,907.0,391.0,24.0,7306322.0,341241.97222,59842.2,0.0,0.0,95.7,106.43787,0.83,"9615,92 ","11960,42 ",0,1,"3,93",338.43283582089555,8.955223880597014
Chine - RAS de Macao,34.47,19.0,0.0,23.0,21.0,3.0,622585.0,50456.759225,126144.0,4.9,0.0,68.0,105.461414,1.43,"9602,18 ","11966,80 ",0,1,0,88.46153846153845,11.538461538461538
"Chine, Taiwan Province de",33.17,785.0,8.0,161.0,785.0,652.0,23674546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"9892,05 ","12434,35 ",0,1,"4,49",20.0,80.99378881987577
"Chine, continentale",12.33,18161.0,576.0,452.0,17518.0,18236.0,1421021791.0,12310491.937814,0.0,0.0,0.0,40.0,104.0011,0.0,"7973,14 ","9815,48 ",0,0,"4,51",2.495583038869258,100.68462897526503
Chypre,25.08,38.0,1.0,14.0,30.0,25.0,1179678.0,22870.734322,38288.0,0.0,21.8,46.0,96.47,0.54,"2936,99 ","3907,19 ",1,1,0,36.84210526315789,65.78947368421053
Colombie,31.99,1643.0,2.0,78.0,1565.0,1564.0,48909839.0,311883.730442,14171.3,5.9,22.3,36.3,113.0231,-0.77,"8622,18 ",0,0,1,"5,19",4.7560975609756095,95.36585365853658
Congo,21.53,110.0,0.0,104.0,110.0,7.0,5110695.0,11011.6519,4234.7,28.3,9.6,25.0,98.72583,-0.53,"6047,11 ","8773,01 ",0,1,0,93.69369369369369,6.306306306306306
Costa Rica,26.52,134.0,3.0,17.0,131.0,133.0,4949954.0,60516.044623,20347.0,3.2,25.7,45.0,103.0246,0.61,"8909,08 ",0,0,1,"5,78",11.564625850340136,90.47619047619048
Croatie,10.77,45.0,17.0,24.0,45.0,61.0,4182857.0,56214.432403,27154.1,0.0,24.4,53.0,101.7,0.69,"1076,24 ","1422,16 ",1,0,0,35.294117647058826,89.70588235294117
Cuba,23.72,342.0,0.0,312.0,269.0,29.0,11339254.0,96851.0,0.0,0.0,24.6,33.0,0.0,0.65,"7602,70 ",0,0,1,0,91.49560117302052,8.504398826979472
Côte d'Ivoire,2.53,65.0,0.0,7.0,62.0,58.0,24437470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4602,22 ","7087,36 ",0,1,0,10.76923076923077,89.23076923076924
Danemark,28.98,167.0,139.0,133.0,166.0,173.0,5732274.0,332121.063806,55356.7,0.0,19.7,77.0,102.9,0.87,"947,36 ","1211,25 ",1,1,"6,44",79.64071856287424,103.59281437125749
Djibouti,2.68,3.0,0.0,3.0,3.0,0.0,944099.0,2766.868072,4905.0,13.5,13.5,14.7,106.936486,-0.74,"5589,21 ","8636,49 ",0,1,0,100.0,0.0
Dominique,35.19,4.0,0.0,4.0,3.0,0.0,71458.0,520.7,11341.3,5.7,27.9,46.3,100.692414,1.2,"6801,07 ",0,0,1,0,100.0,0.0
El Salvador,20.43,131.0,2.0,16.0,131.0,136.0,6388126.0,24979.19,8454.1,9.2,24.6,26.3,100.057369,-0.26,"8945,58 ",0,0,0,0,10.666666666666668,90.66666666666666
Espagne,30.39,1497.0,212.0,205.0,1418.0,1515.0,46647428.0,1312539.279462,39528.9,0.0,23.8,66.7,103.4033,0.28,"1105,50 ","1331,67 ",1,1,"5,42",13.59416445623342,100.46419098143235
Estonie,21.26,29.0,11.0,21.0,28.0,20.0,1319390.0,26924.385103,33821.9,0.0,21.2,63.7,107.2426,0.65,"1898,83","2445,52 ",1,0,0,70.0,66.66666666666666
Eswatini,6.46,7.0,0.0,2.0,7.0,6.0,1124805.0,4401.526105,8408.0,12.4,16.5,18.0,124.729533,-0.27,"7404,48 ","11521,24 ",0,0,0,25.0,75.0
Fidji,28.02,26.0,0.0,3.0,25.0,23.0,877459.0,5353.491805,13429.3,6.2,30.2,31.4,101.181806,0.62,"16561,67 ",0,0,1,0,11.538461538461538,88.46153846153845
