Zone,Vol d'oiseau (km),Trajet par route (km)
Afghanistan,5456.82 ,7128.88 
Afrique du Sud,8920.69 ,14243.34 
Albanie,1635.20 ,2436.14 
Algérie,2319.82 ,3084.43 
Allemagne,649.95 ,845.14 
Angola,7005.14 ,9738.91 
Antigua-et-Barbuda,6708.02 ,
Arabie saoudite,4634.78 ,5822.40 
Argentine,11305.44 ,
Arménie,3462.34 ,4636.67 
Australie,15149.30 ,
Autriche,832.20 ,1045.98 
Azerbaïdjan,3631.15 ,4686.93 
Bahamas,7210.24 ,
Bangladesh,7858.48 ,10271.94 
Barbade,6866.91 ,
Belgique,260.94 ,299.07 
Belize,8651.56 ,
Bolivie (État plurinational de),9866.66 ,
Bosnie-Herzégovine,1286.89 ,1688.45 
Botswana,8166.93 ,13393.55 
Brésil,8602.28 ,
Bulgarie,1895.97 ,2369.68 
Burkina Faso,4059.62 ,5405.29 
Bélarus,1844.76 ,2132.15 
Bénin,4376.27 ,5949.12 
Cabo Verde,4365.68 ,
Cambodge,9822.61 ,13187.26 
Cameroun,4860.58 ,6447.52 
Canada,6603.97 ,
Chili,11376.92 ,
Chine - RAS de Hong-Kong,9615.92 ,11960.42 
Chine - RAS de Macao,9602.18 ,11966.80 
"Chine, Taiwan Province de",9892.05 ,12434.35 
"Chine, continentale",7973.14 ,9815.48 
Chypre,2936.99 ,3907.19 
Colombie,8622.18 ,
Congo,6047.11 ,8773.01 
Costa Rica,8909.08 ,
Croatie,1076.24 ,1422.16 
Cuba,7602.70 ,
Côte d'Ivoire,4602.22 ,7087.36 
Danemark,947.36 ,1211.25 
Djibouti,5589.21 ,8636.49 
Dominique,6801.07 ,
El Salvador,8945.58 ,
Espagne,1105.50 ,1331.67 
Estonie,1898.83,2445.52 
Eswatini,7404.48 ,11521.24 
Fidji,16561.67 ,
Finlande,2198.40 ,2845.45 
France,318.74 ,408.48 
Fédération de Russie,5840.73 ,7740.48 
Gabon,5617.05 ,7716.00 
Gambie,4258.90 ,5439.51 
Ghana,4544.13 ,6185.95 
Grenade,7105.74 ,
Grèce,1908.49 ,2662.96 
Guatemala,8903.22 ,
Guinée,4396.94 ,6339.27 
Guinée-Bissau,4399.93 ,5679.64 
Guyana,7525.02 ,
Géorgie,3257.86 ,4243.34 
Haïti,7325.77 ,
Honduras,8674.95 ,
Hongrie,1327.94 ,1586.89 
Inde,7225.17 ,9508.27 
Indonésie,12420.78 ,19991.75 
Iran (République islamique d'),4576.94 ,5581.87 
Iraq,3854.78 ,4800.98 
Irlande,849.94 ,1165.41 
Islande,2157.40 ,3347.91 
Israël,3321.57 ,4595.92 
Italie,1050.85 ,1364.87 
Jamaïque,7745.59 ,
Japon,9715.00 ,13471.08 
Jordanie,3444.97 ,4540.38 
Kazakhstan,4540.32 ,5380.64 
Kenya,6314.74 ,9584.37 
Kirghizistan,5533.35 ,6655.29 
Kiribati,14352.18 ,
Koweït,4379.18 ,5435.09 
Lesotho,9084.95 ,14223.95 
Lettonie,1755.36 ,2210.04 
Liban,3217.95 ,4218.43 
Libéria,4840.17 ,6910.14 
Lituanie,1638.50 ,2086.93 
Luxembourg,293.88 ,381.88 
Macédoine du Nord,1709.91 ,2243.98 
Madagascar,8839.65 ,
Malaisie,11248.62 ,19516.13 
Malawi,7600.96 ,11788.16 
