Rank;Zone;Green Future Index
1;Islande;6.45
21;Inde;5.35
41;Cameroun;4.59
61;Arabie saoudite;3.97
8;Nouvelle-Zélande;5.71
28;Tchéquie;5.15
48;Roumanie;4.44
68;Turquie;3.75
15;Autriche;5.47
35;Australie;4.89
55;République dominicaine;4.23
75;Paraguay;2.72
2;Danemark;6.44
22;Italie;5.3
42;Émirats arabes unis;4.56
62;Équateur;3.97
9;Belgique;5.63
29;Thaïlande;5.12
49;Viet Nam;4.4
69;Bangladesh;3.68
16;Singapore;5.45
36;Mexique;4.86
56;Malaisie;4.18
76;Qatar;2.61
3;Norvège;6.2
23;Kenya;5.3
43;Philippines;4.56
63;Ukraine;3.97
10;Pays-Bas;5.62
30;Portugal;5.11
50;Slovaquie;4.37
70;Guatemala;3.66
17;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;5.44
37;Grèce;4.82
57;Indonésie;4.15
64;Chine - RAS de Hong-Kong;3.93
4;France;5.98
24;Chili;5.29
44;Bulgarie;4.54
71;Ghana;3.6
11;Allemagne;5.55
31;République de Corée;5.1
51;Zambie;4.36
65;Koweït;3.91
18;Espagne;5.42
38;Israël;4.77
58;Égypte;4.14
72;Algérie;3.17
5;Irlande;5.95
25;Colombie;5.19
45;Chine, continentale;4.51
66;Pérou;3.86
12;Suède;5.54
32;Brésil;4.96
52;Angola;4.34
73;Fédération de Russie;2.87
19;Suisse;5.4
39;Hongrie;4.71
59;Argentine;4.04
67;Pakistan;3.79
6;Finlande;5.9
26;Maroc;5.18
46;Chine, Taiwan Province de;4.49
74;Iran (République islamique d');2.85
13;Luxembourg;5.5
33;Kazakhstan;4.94
53;Nigéria;4.32
20;Uruguay;5.38
40;États-Unis d'Amérique;4.66
60;Japon;3.99
7;Costa Rica;5.78
27;Éthiopie;5.15
47;Afrique du Sud;4.47
14;Canada;5.48
34;Pologne;4.92
54;Ouganda;4.25
